ticket_id,opened_at,priority,category,subcategory,location,requester_role,assigned_tier,escalated,first_response_at,resolved_at,status,kb_article,reopened,resolution
INC100144,2026-02-26 06:05,P3,LIS Access,Password expired,Blood Bank,Lab supervisor,1,0,2026-02-26 13:49,2026-02-26 15:08,Resolved,KB-002,0,Reset password and verified login
INC100145,2026-02-26 09:03,P3,Order / Accession,Order not found for specimen,ICU,Lab supervisor,1,0,2026-02-26 12:24,2026-02-26 23:10,Resolved,KB-004,0,Located order and relinked specimen
INC100146,2026-02-26 15:26,P3,Worklist,Pending list missing specimens,Outpatient Draw,Provider,2,0,2026-02-26 16:27,2026-02-26 19:33,Resolved,KB-006,0,Corrected worklist filter build
INC100147,2026-02-27 11:25,P3,Order / Accession,Order cancelled after collection,Core Lab,Lab supervisor,3,1,2026-02-27 12:38,2026-02-28 12:49,Resolved,,1,Reinstated order and notified provider
INC100148,2026-02-27 13:08,P3,Label Printer,Labels blank or faded,Emergency Dept,Nurse,1,0,2026-02-27 15:44,2026-02-28 08:13,Resolved,KB-001,0,Replaced ribbon and label stock
INC100149,2026-02-27 15:53,P2,QC Lockout,QC failure blocking results,Core Lab,Provider,2,0,2026-02-27 16:04,2026-02-27 20:56,Resolved,KB-007,0,"Reviewed QC, recalibrated, released hold"
INC100150,2026-02-28 00:22,P3,Order / Accession,Duplicate order,Microbiology,Lab supervisor,1,0,2026-02-28 03:01,2026-02-28 05:24,Resolved,KB-004,0,Cancelled duplicate with provider approval
INC100151,2026-02-28 10:45,P3,Label Printer,Wrong default printer,Blood Bank,Nurse,1,0,2026-02-28 13:48,2026-03-01 00:34,Resolved,,1,Reassigned workstation default printer
INC100152,2026-03-01 00:59,P3,Label Printer,Wrong default printer,Outpatient Draw,Phlebotomist,1,0,2026-03-01 01:58,2026-03-01 15:44,Resolved,KB-001,0,Reassigned workstation default printer
INC100153,2026-03-01 06:19,P2,Analyzer Interface,Results not crossing to LIS,Core Lab,Bench tech,3,1,2026-03-01 06:29,2026-03-02 01:23,Resolved,,0,Restarted interface connection and resent results
INC100154,2026-03-02 04:28,P3,Order / Accession,Order not found for specimen,Outpatient Draw,Nurse,1,0,2026-03-02 06:55,2026-03-03 00:05,Resolved,KB-004,1,Located order and relinked specimen
INC100155,2026-03-02 06:03,P3,LIS Access,Account locked out,Outpatient Draw,Lab supervisor,1,0,2026-03-02 09:33,2026-03-03 01:12,Resolved,KB-002,0,Unlocked account and verified login
INC100156,2026-03-02 10:52,P2,QC Lockout,New QC lot not built,Blood Bank,Lab supervisor,2,0,2026-03-02 11:04,2026-03-02 17:22,Resolved,,0,Built QC lot and ranges in LIS
INC100157,2026-03-02 13:27,P3,Label Printer,Wrong default printer,Core Lab,Phlebotomist,1,0,2026-03-02 17:02,2026-03-03 00:36,Resolved,,0,Reassigned workstation default printer
INC100158,2026-03-03 12:26,P3,Label Printer,Printer not printing,Core Lab,Nurse,1,0,2026-03-03 13:48,2026-03-03 21:12,Resolved,KB-001,0,Cleared jam and restarted printer
INC100159,2026-03-03 13:35,P3,Label Printer,Labels blank or faded,Blood Bank,Provider,1,0,2026-03-03 16:36,2026-03-03 19:13,Resolved,,0,Replaced ribbon and label stock
INC100160,2026-03-03 14:27,P3,Order / Accession,Duplicate order,Microbiology,Provider,1,0,2026-03-03 15:22,2026-03-04 08:39,Resolved,,0,Cancelled duplicate with provider approval
INC100161,2026-03-03 20:09,P2,QC Lockout,New QC lot not built,Blood Bank,Bench tech,2,0,2026-03-03 20:19,2026-03-04 04:57,Resolved,KB-007,0,Built QC lot and ranges in LIS
INC100162,2026-03-04 11:40,P2,Analyzer Interface,Results not crossing to LIS,Core Lab,Provider,3,1,2026-03-04 11:51,2026-03-05 19:54,Resolved,,1,Restarted interface connection and resent results
INC100163,2026-03-04 14:44,P2,Result Correction,Result filed to wrong test,Blood Bank,Bench tech,2,0,2026-03-04 14:58,2026-03-04 21:21,Resolved,KB-005,0,Issued corrected report and notified provider
INC100164,2026-03-05 11:46,P2,Analyzer Interface,Interface queue backed up,Core Lab,Nurse,2,0,2026-03-05 12:09,2026-03-05 13:27,Resolved,KB-003,0,Cleared stuck message and released queue
INC100165,2026-03-06 01:56,P3,LIS Access,Password expired,ICU,Nurse,1,0,2026-03-06 03:21,2026-03-06 06:35,Resolved,,0,Reset password and verified login
INC100166,2026-03-07 06:04,P3,Worklist,Pending list missing specimens,Emergency Dept,Provider,2,0,2026-03-07 13:59,2026-03-07 10:34,Resolved,KB-006,0,Corrected worklist filter build
INC100167,2026-03-07 06:26,P3,Label Printer,Printer not printing,Outpatient Draw,Bench tech,1,0,2026-03-07 09:52,2026-03-07 12:24,Resolved,KB-001,0,Cleared jam and restarted printer
INC100168,2026-03-07 08:06,P2,Analyzer Interface,Results not crossing to LIS,Core Lab,Lab supervisor,2,0,2026-03-07 08:28,2026-03-07 12:30,Resolved,,0,Restarted interface connection and resent results
INC100169,2026-03-07 08:52,P3,Order / Accession,Order cancelled after collection,ICU,Nurse,2,0,2026-03-07 11:36,2026-03-07 14:46,Resolved,KB-004,0,Reinstated order and notified provider
INC100170,2026-03-08 06:23,P3,Label Printer,Labels blank or faded,ICU,Provider,1,0,2026-03-08 08:24,2026-03-08 22:18,Resolved,KB-001,0,Replaced ribbon and label stock
INC100171,2026-03-08 08:08,P2,Analyzer Interface,Interface queue backed up,Microbiology,Lab supervisor,3,1,2026-03-08 08:19,2026-03-08 17:29,Resolved,KB-003,0,Cleared stuck message and released queue
INC100172,2026-03-08 08:35,P2,QC Lockout,New QC lot not built,Blood Bank,Provider,2,0,2026-03-08 08:53,2026-03-08 11:54,Resolved,KB-007,0,Built QC lot and ranges in LIS
INC100173,2026-03-08 13:15,P3,Label Printer,Labels blank or faded,Outpatient Draw,Provider,1,0,2026-03-08 14:05,2026-03-08 21:47,Resolved,KB-001,0,Replaced ribbon and label stock
INC100174,2026-03-08 22:50,P3,LIS Access,Password expired,Microbiology,Nurse,1,0,2026-03-09 01:55,2026-03-09 09:02,Resolved,KB-002,0,Reset password and verified login
INC100175,2026-03-09 01:25,P2,Analyzer Interface,Interface queue backed up,Core Lab,Phlebotomist,2,0,2026-03-09 01:38,2026-03-09 02:53,Resolved,KB-003,0,Cleared stuck message and released queue
INC100176,2026-03-09 08:14,P3,LIS Access,Account locked out,ICU,Phlebotomist,1,0,2026-03-09 16:35,2026-03-09 12:49,Resolved,KB-002,0,Unlocked account and verified login
INC100177,2026-03-09 20:22,P3,Worklist,Pending list missing specimens,ICU,Provider,2,0,2026-03-09 22:30,2026-03-10 14:28,Resolved,KB-006,0,Corrected worklist filter build
INC100178,2026-03-09 22:08,P3,Order / Accession,Order not found for specimen,ICU,Lab supervisor,1,0,2026-03-09 23:12,2026-03-10 21:06,Resolved,,1,Located order and relinked specimen
INC100179,2026-03-09 22:33,P3,Order / Accession,Order not found for specimen,ICU,Nurse,1,0,2026-03-09 23:42,2026-03-10 15:16,Resolved,,0,Located order and relinked specimen
INC100180,2026-03-10 09:26,P3,Order / Accession,Duplicate order,Blood Bank,Provider,1,0,2026-03-10 11:47,2026-03-10 16:15,Resolved,KB-004,0,Cancelled duplicate with provider approval
INC100181,2026-03-10 20:49,P3,LIS Access,Account locked out,Blood Bank,Bench tech,1,0,2026-03-11 00:15,2026-03-11 06:35,Resolved,,0,Unlocked account and verified login
INC100182,2026-03-10 21:55,P2,Analyzer Interface,Results not crossing to LIS,Microbiology,Lab supervisor,2,0,2026-03-10 22:04,2026-03-11 03:23,Resolved,KB-003,0,Restarted interface connection and resent results
INC100183,2026-03-12 08:05,P3,Order / Accession,Duplicate order,Outpatient Draw,Provider,1,0,2026-03-12 15:51,2026-03-13 01:29,Resolved,KB-004,0,Cancelled duplicate with provider approval
INC100184,2026-03-12 09:16,P3,Order / Accession,Order cancelled after collection,Microbiology,Nurse,2,0,2026-03-12 11:10,2026-03-13 12:14,Resolved,,1,Reinstated order and notified provider
INC100185,2026-03-12 09:41,P3,Label Printer,Wrong default printer,Outpatient Draw,Bench tech,1,0,2026-03-12 12:51,2026-03-12 20:26,Resolved,,0,Reassigned workstation default printer
INC100186,2026-03-12 12:35,P3,Label Printer,Wrong default printer,Blood Bank,Bench tech,1,0,2026-03-12 15:37,2026-03-13 03:23,Resolved,KB-001,0,Reassigned workstation default printer
INC100187,2026-03-13 06:12,P3,Label Printer,Printer not printing,ICU,Nurse,1,0,2026-03-13 07:44,2026-03-13 16:28,Resolved,KB-001,0,Cleared jam and restarted printer
INC100188,2026-03-13 09:26,P3,Worklist,Pending list missing specimens,Emergency Dept,Phlebotomist,2,0,2026-03-13 10:44,2026-03-14 10:15,Resolved,,1,Corrected worklist filter build
INC100189,2026-03-13 11:26,P3,Order / Accession,Duplicate order,ICU,Bench tech,1,0,2026-03-13 13:07,2026-03-13 16:16,Resolved,KB-004,0,Cancelled duplicate with provider approval
INC100190,2026-03-13 12:57,P2,Analyzer Interface,Results not crossing to LIS,Microbiology,Nurse,3,1,2026-03-13 13:20,2026-03-14 01:03,Resolved,KB-003,0,Restarted interface connection and resent results
INC100191,2026-03-13 19:27,P2,Analyzer Interface,Interface queue backed up,Blood Bank,Lab supervisor,3,1,2026-03-13 19:47,2026-03-14 15:23,Resolved,KB-003,0,Cleared stuck message and released queue
INC100192,2026-03-14 09:34,P2,QC Lockout,New QC lot not built,Core Lab,Nurse,2,0,2026-03-14 09:45,2026-03-14 15:34,Resolved,KB-007,0,Built QC lot and ranges in LIS
INC100193,2026-03-14 10:14,P3,Order / Accession,Duplicate order,Microbiology,Provider,1,0,2026-03-14 11:48,2026-03-15 05:34,Resolved,KB-004,0,Cancelled duplicate with provider approval
INC100194,2026-03-14 14:58,P2,Analyzer Interface,Interface queue backed up,Core Lab,Phlebotomist,3,1,2026-03-14 15:11,2026-03-15 15:31,Resolved,KB-003,0,Cleared stuck message and released queue
INC100195,2026-03-14 16:34,P2,Result Correction,Corrected report needed,ICU,Phlebotomist,2,0,2026-03-14 16:45,2026-03-14 20:29,Resolved,,0,Issued corrected report and notified provider
INC100196,2026-03-15 02:04,P3,Order / Accession,Duplicate order,Microbiology,Nurse,1,0,2026-03-15 04:57,2026-03-15 12:57,Resolved,KB-004,0,Cancelled duplicate with provider approval
INC100197,2026-03-15 09:19,P3,Label Printer,Wrong default printer,Emergency Dept,Provider,1,0,2026-03-15 10:19,2026-03-15 13:55,Resolved,KB-001,0,Reassigned workstation default printer
INC100198,2026-03-15 09:31,P3,Label Printer,Labels blank or faded,Core Lab,Bench tech,1,0,2026-03-15 10:55,2026-03-17 07:38,Resolved,KB-001,0,Replaced ribbon and label stock
INC100199,2026-03-15 13:02,P3,Order / Accession,Duplicate order,Microbiology,Nurse,1,0,2026-03-15 18:35,2026-03-15 19:03,Resolved,,0,Cancelled duplicate with provider approval
INC100200,2026-03-15 20:41,P4,Downtime,Planned downtime question,Blood Bank,Bench tech,1,0,2026-03-15 23:20,2026-03-16 13:38,Resolved,KB-008,0,Sent downtime schedule and procedure
INC100201,2026-03-16 01:46,P2,Analyzer Interface,Instrument offline in LIS,Core Lab,Phlebotomist,2,0,2026-03-16 01:58,2026-03-16 06:50,Resolved,KB-003,0,Re-established instrument connection
INC100202,2026-03-16 01:55,P2,Analyzer Interface,Instrument offline in LIS,Core Lab,Provider,2,0,2026-03-16 02:06,2026-03-16 03:12,Resolved,KB-003,0,Re-established instrument connection
INC100203,2026-03-16 06:12,P2,Analyzer Interface,Interface queue backed up,Blood Bank,Lab supervisor,2,0,2026-03-16 06:20,2026-03-16 07:47,Resolved,,0,Cleared stuck message and released queue
INC100204,2026-03-16 06:18,P3,Label Printer,Labels blank or faded,Emergency Dept,Provider,1,0,2026-03-16 09:49,2026-03-16 20:07,Resolved,KB-001,0,Replaced ribbon and label stock
INC100205,2026-03-16 07:35,P3,Label Printer,Printer not printing,Emergency Dept,Provider,1,0,2026-03-16 09:31,2026-03-17 05:47,Resolved,KB-001,1,Cleared jam and restarted printer
INC100206,2026-03-16 07:38,P3,LIS Access,Account locked out,Emergency Dept,Lab supervisor,1,0,2026-03-16 08:45,2026-03-16 17:08,Resolved,KB-002,0,Unlocked account and verified login
INC100207,2026-03-16 11:01,P3,Label Printer,Wrong default printer,Emergency Dept,Nurse,1,0,2026-03-16 12:37,2026-03-16 23:03,Resolved,KB-001,0,Reassigned workstation default printer
INC100208,2026-03-16 11:10,P2,Result Correction,Corrected report needed,Outpatient Draw,Provider,2,0,2026-03-16 11:31,2026-03-16 17:04,Resolved,KB-005,0,Issued corrected report and notified provider
INC100209,2026-03-17 07:41,P2,Analyzer Interface,Results not crossing to LIS,Microbiology,Provider,3,1,2026-03-17 07:59,2026-03-18 06:18,Resolved,KB-003,0,Restarted interface connection and resent results
INC100210,2026-03-17 10:50,P2,Result Correction,Corrected report needed,Emergency Dept,Bench tech,2,0,2026-03-17 10:58,2026-03-17 14:05,Resolved,KB-005,0,Issued corrected report and notified provider
INC100211,2026-03-17 13:42,P2,Analyzer Interface,Instrument offline in LIS,Core Lab,Nurse,3,1,2026-03-17 14:07,2026-03-17 22:08,Resolved,KB-003,0,Re-established instrument connection
INC100212,2026-03-18 16:49,P3,Label Printer,Labels blank or faded,Emergency Dept,Lab supervisor,1,0,2026-03-18 17:56,2026-03-19 09:26,Resolved,KB-001,0,Replaced ribbon and label stock
INC100213,2026-03-18 18:24,P3,LIS Access,Password expired,Outpatient Draw,Lab supervisor,1,0,2026-03-18 21:18,2026-03-19 00:21,Resolved,,0,Reset password and verified login
INC100214,2026-03-18 19:50,P2,Analyzer Interface,Results not crossing to LIS,Core Lab,Bench tech,3,1,2026-03-18 20:49,2026-03-19 20:35,Resolved,KB-003,0,Restarted interface connection and resent results
INC100215,2026-03-18 23:06,P3,LIS Access,Password expired,ICU,Bench tech,1,0,2026-03-19 02:25,2026-03-19 14:19,Resolved,KB-002,0,Reset password and verified login
INC100216,2026-03-21 10:53,P2,QC Lockout,New QC lot not built,Core Lab,Provider,2,0,2026-03-21 11:05,2026-03-21 16:39,Resolved,,0,Built QC lot and ranges in LIS
INC100217,2026-03-22 05:03,P4,LIS Access,Missing security role,Microbiology,Phlebotomist,2,0,2026-03-22 06:55,2026-03-22 19:57,Resolved,KB-009,0,Added security role after manager approval
INC100218,2026-03-22 12:41,P2,QC Lockout,QC failure blocking results,Microbiology,Lab supervisor,2,0,2026-03-22 13:02,2026-03-22 17:09,Resolved,KB-007,0,"Reviewed QC, recalibrated, released hold"
INC100219,2026-03-22 14:38,P3,Label Printer,Wrong default printer,Emergency Dept,Bench tech,1,0,2026-03-22 17:16,2026-03-22 23:18,Resolved,KB-001,0,Reassigned workstation default printer
INC100220,2026-03-23 02:53,P3,Order / Accession,Order cancelled after collection,Blood Bank,Phlebotomist,2,0,2026-03-23 08:40,2026-03-23 12:27,Resolved,KB-004,0,Reinstated order and notified provider
INC100221,2026-03-23 06:08,P2,Result Correction,Corrected report needed,Blood Bank,Lab supervisor,2,0,2026-03-23 06:25,2026-03-23 09:09,Resolved,KB-005,0,Issued corrected report and notified provider
INC100222,2026-03-23 09:51,P2,Analyzer Interface,Results not crossing to LIS,Blood Bank,Phlebotomist,3,1,2026-03-23 09:59,2026-03-23 19:04,Resolved,KB-003,0,Restarted interface connection and resent results
INC100223,2026-03-23 14:39,P3,Label Printer,Labels blank or faded,Blood Bank,Lab supervisor,1,0,2026-03-23 17:59,2026-03-23 23:14,Resolved,KB-001,0,Replaced ribbon and label stock
INC100224,2026-03-23 19:21,P3,Label Printer,Wrong default printer,Core Lab,Phlebotomist,1,0,2026-03-23 21:01,2026-03-24 09:58,Resolved,KB-001,0,Reassigned workstation default printer
INC100225,2026-03-23 21:53,P3,Order / Accession,Order not found for specimen,Outpatient Draw,Nurse,1,0,2026-03-24 03:48,2026-03-24 14:17,Resolved,KB-004,0,Located order and relinked specimen
INC100226,2026-03-24 00:05,P3,Order / Accession,Duplicate order,Core Lab,Nurse,1,0,2026-03-24 01:18,2026-03-24 19:28,Resolved,KB-004,0,Cancelled duplicate with provider approval
INC100227,2026-03-24 09:58,P3,Order / Accession,Order not found for specimen,Emergency Dept,Phlebotomist,1,0,2026-03-24 13:09,2026-03-24 21:09,Resolved,KB-004,0,Located order and relinked specimen
INC100228,2026-03-24 12:15,P2,Result Correction,Corrected report needed,Blood Bank,Lab supervisor,2,0,2026-03-24 12:40,2026-03-24 18:57,Resolved,KB-005,0,Issued corrected report and notified provider
INC100229,2026-03-25 13:58,P2,Result Correction,Result filed to wrong test,Emergency Dept,Lab supervisor,2,0,2026-03-25 14:04,2026-03-25 18:45,Resolved,KB-005,0,Issued corrected report and notified provider
INC100230,2026-03-25 15:07,P2,QC Lockout,New QC lot not built,Core Lab,Bench tech,2,0,2026-03-25 15:29,2026-03-25 18:12,Resolved,KB-007,0,Built QC lot and ranges in LIS
INC100231,2026-03-25 20:23,P2,Analyzer Interface,Instrument offline in LIS,Core Lab,Bench tech,3,1,2026-03-25 21:05,2026-03-26 06:55,Resolved,KB-003,0,Re-established instrument connection
INC100232,2026-03-26 08:44,P3,Label Printer,Wrong default printer,Outpatient Draw,Lab supervisor,1,0,2026-03-26 11:45,2026-03-27 22:04,Resolved,KB-001,0,Reassigned workstation default printer
INC100233,2026-03-27 15:14,P2,Analyzer Interface,Interface queue backed up,Microbiology,Bench tech,3,1,2026-03-27 15:20,2026-03-28 01:34,Resolved,,0,Cleared stuck message and released queue
INC100234,2026-03-27 16:21,P3,Order / Accession,Order not found for specimen,Emergency Dept,Bench tech,1,0,2026-03-27 17:50,,In Progress,,0,
INC100235,2026-03-28 02:50,P3,Label Printer,Wrong default printer,Emergency Dept,Lab supervisor,1,0,2026-03-28 04:00,,Open,,0,
INC100236,2026-03-28 04:44,P2,Analyzer Interface,Instrument offline in LIS,Core Lab,Phlebotomist,2,0,2026-03-28 05:20,2026-03-29 01:56,Resolved,,1,Re-established instrument connection
INC100237,2026-03-28 12:16,P3,Order / Accession,Duplicate order,Microbiology,Phlebotomist,1,0,2026-03-28 14:34,2026-03-29 04:24,Resolved,KB-004,0,Cancelled duplicate with provider approval
INC100238,2026-03-28 20:33,P3,Label Printer,Printer not printing,Blood Bank,Lab supervisor,1,0,2026-03-29 00:07,2026-03-29 13:17,Resolved,KB-001,0,Cleared jam and restarted printer
INC100239,2026-03-29 13:42,P3,Order / Accession,Order cancelled after collection,ICU,Nurse,2,0,2026-03-29 14:47,,In Progress,,0,
INC100240,2026-03-29 19:07,P3,Worklist,Worklist not refreshing,Microbiology,Lab supervisor,1,0,2026-03-29 20:16,,Open,,0,
